m3stmid,'storm id in NNB.YYYY format'
m3tcType,'TC lifetype type: TD (tropical depression <= 34 kt); TS (tropical storm >= 35 kt); TY (typhoon >= 65 kt); STY (super typhoon >= 130 kt)'
m3stmType,'TC type NN - numbered TC; NONdev - non-developing pTC; DEV - pTC that developed into NN storm'
dtg,'date-time-group YYYYMMDDHH'
blat,'best track latitude degN'
blon,'best track longitude degE'
bvmax,'best track Vmax [kts]'
bpmin,'best track central pressure [hPa]'
bdir,'best track direction of motion [deg]'
bspd,'best track speed [kt]'
btccode,'best track TC code'
br34m,'best track mean R34 [km]'
land,'distance from coast [km]'
mvmax,'model Vmax [kts]'
r34m,'mean r34 km for diag calc'
shrspd,'850-200 hPa shear speed kts'
shrdir,'850-200 hPa shear direction deg'
stmspd,'storm speed in diagnostic file calc'
stmdir,'storm direction of motion in diagnostic file calc'
sst,'SST ERA5 degC'
ssta,'SST anomaly degC'
vort850,'850 hPa relative vorticity'
dvrg200,'200 hPa divergence'
cpsb,'CPS baroclinic'
cpslo,'CPS low: 1000-600 thickness'
cpshi,'CPS hi:   600-200 thickness'
tpw,'total precipitable water'
rh50,'relative humidity 500 hPa'
rh70,'relative humidity 700 hPa'
rh85,'relative humidity 850 hPa'
u85,'u wind 850 hPa'
u70,'u wind 700 hPa'
u50,'u wind 500 hPa'
v85,'v wind 850 hPa'
v70,'v wind 700 hPa'
v50,'v wind 500 hPa'
roci1,'roci of penultimate contour'
poci1,'poci of penultimate contour'
roci0,'roci outermost contour'
poci0,'poci outermost contour'
to3,'title'
oc3,'CMORPH 300-km precip at Best Track position [mm/d]'
og3,'GSMaP  300-km precip at Best Track position [mm/d]'
oi3,'IMERG  300-km precip at Best Track position [mm/d]'
to5,'title'
oc5,'CMORPH 500-km precip at Best Track position [mm/d]'
og5,'GSMaP  500-km precip at Best Track position [mm/d]'
oi5,'IMERG  500-km precip at Best Track position [mm/d]'
to8,'title'
oc8,'CMORPH 800-km precip at Best Track position [mm/d]'
og8,'GSMaP  800-km precip at Best Track position [mm/d]'
oi8,'IMERG  800-km precip at Best Track position [mm/d]'
toe3,'title'
ec3,'CMORPH 300-km precip at ERA5 position [mm/d]'
eg3,'GSMaP  300-km precip at ERA5 position [mm/d]'
ei3,'IMERG  300-km precip at ERA5 position [mm/d]'
te3,'title'
e3,'ERA5 300-km precip [mm/d]'
re3,'ERA5 ratio Convective/Total 300-km precip [%]'
toe5,'title'
ec5,'CMORPH 500-km precip at ERA5 position [mm/d]'
eg5,'GSMaP 500-km precip at ERA5 position [mm/d]'
ei5,'IMERG 500-km precip at ERA5 position [mm/d]'
te5,'title'
e5,'ERA5 500-km precip [mm/d]'
re5,'ERA5 ratio Convective/Total 500-km precip [%]'
toe8,'title'
ec8,'CMORPH 800-km precip at ERA5 position [mm/d]'
eg8,'GSMaP 800-km precip at ERA5 position [mm/d]'
ei8,'IMERG 800-km precip at ERA5 position [mm/d]'
te8,'title era5 pr'
e8,'ERA5 800-km precip [mm/d]'
re8,'ERA5 ratio Convective/Total 800-km precip [%]'